7:17431,6284,239,204,901,1762,3588,2831,10040,15900
18:32205,47812,63512,54038,26299,431,2110,902,16042,797
19:
36:7624,481,16912,1790,616,1476,891,873,366,109
37:1962,47768,55239,18416,563,899,931,287,551,65
41:326,73,3841,7667,6691,317,699,179,3385,19364
42:17453,9035,3292,4223,5905,2583,4664,5413,11459,2998
43:521,786,3965,56229,48,40552,31797,14560,109,1187
44:3730,3028,1510,4042,1277,493,289,301,358,6353
45:347,76,4858,23970,8476,79096,19829,11751,15580,26793
46:12175,1476,116,8156,7843,7231,289,2538,3730,1231
59:498,25556,2772,30714,9695,19996,36575,999,964,2115
60:6284,8457,204,1476,10040,7194,162,4542,1116,76
69:32136,1231,1277,855,899,2831,11535,116,5998,358
70:326,15242,34393,1187,496,39846,472,48,1362,50906
94:1962,59526,18416,9850,4993,899,931,12066,29,1876
106:8055,43485,4485,615,86,3028,3730,2166,2538,5542
115:4485,8055,32136,1476,5514,4422,1277,6582,29,483
116:4727,5116,45648,45831,1435,46808,6039,470,14546,35840
142:4485,8055,615,29,84,2734,3028,1231,1277,1476
143:394,3231,483,9451,31310,32,1685,2172,1603,29990
148:1065,559,17061,67829,2117,3309,834,3516,6395,986
150:1231,101,289,8156,12223,633,2342,43110,402,4326
156:2538,2500,26325,46723,54188,8423,19469,52773,19003,11998
161:16205,1476,88,4886,7843,2076,370,4181,289,5542
171:239,5117,10040,162,6284,1804,18038,1476,2538,9035
172:8100,52552,645,16595,1752,7210,162,2060,2361,364
174:11194,518,431,654,96,33107,20582,103672,4608,90200
177:1277,23867,1476,2538,7231,12175,29,16512,4326,40224
196:5459,1476,1804,1187,4542,1762,380,11035,1136,1832
202:11459,1782,12872,1180,4563,861,1804,194,162,6836
211:19749,7794,815,7466,12160,25369,103,23308,118581,115885
217:8000,111422,6135,685,13580,16272,2984,2338,67766,2115
220:10178,186,4032,22713,7649,39446,64973,1342,13192,45641
223:4181,6284,1549,1804,2172,103,4542,1187,66,109
224:4797,8694,354,1332,353,769,17,22,15995,16127
225:1187,205,2429,6284,109,16431,1186,5117,47687,239
228:86,4497,19664,5514,10039,40182,40224,40414,4326,40225
229:510,358,3028,119,3730,2734,1510,8056,6353,101
231:4485,7843,5484,119,4326,40224,40414,40225,16512,40182
232:55056,62228,73208,77677,48718,48256,77322,10261,37449,41443
238:188,774,1744,10792,3093,10871,17979,1332,29136,4499
241:61,66,239,1476,14700,14559,1804,7514,6284,61772
245:3718,550,8283,3423,12727,22597,17759,8511,3939,650
249:1436,3482,21507,26981,17464,9850,32589,4025,10369,3133
250:239,901,1116,8457,9592,358,1187,16210,6284,1476
253:11725,1074,1187,1744,2058,90894,15019,71515,62668,31251
257:4627,6011,2469,10040,42,1476,1832,3798,66,3736
272:354,2618,2061,749,9480,495,692,1476,2361,29
273:1896,10507,15561,855,32,301,2076,101,1476,88
288:13294,4025,1424,11459,8100,3046,2430,364,616,2166
290:4664,3965,901,449,6143,834,15122,366,1155,138
291:508,10384,54443,97158,40777,26721,10681,58438,10183,1050
292:1476,786,187,10507,289,4181,5542,23867,1510,88
294:1762,1102,1804,899,5117,2469,39846,97,1187,2484
328:84,8,508,2618,162,1476,749,2338,5178,97
331:8649,18525,490,7271,17464,1822,4181,1476,30747,13384
345:1754,77581,385,805,16881,11281,3250,92129,28511,62840
361:2734,1896,1086,3730,1476,12175,4068,3028,6130,49718
376:8680,5025,1140,45,2868,194,2641,813,402,6231
384:16205,2734,8056,1756,5542,7317,2831,289,301,1896
401:12175,615,899,1476,32,4497,88,3730,2734,3028
402:32353,28198,690,34629,302,239,1200,3204,8680,837
410:5450,27138,10041,4755,16390,10871,17979,1332,29136,3693
448:43178,4174,289,381,73,9538,35048,1804,616,2172
449:388,834,1825,1551,94,449,521,1888,13931,472
450:17091,43485,12175,16205,15888,899,855,654,1624,11535
452:25560,7573,20279,30466,554,1987,782,6759,65,2031
476:1840,124,71577,6164,15424,12716,47309,69277,12386,70
488:17091,4497,1896,1212,4422,5514,786,2734,1756,2342
490:12175,32136,8055,17091,43485,7843,32,4497,5514,449
494:645,16595,1424,616,8100,692,1684,578,4025,153
500:17,8,76,4174,650,302,899,48,1119,58
514:2226,1560,9295,7861,7994,15537,7426,1621,9417,16381
525:26981,4025,1436,402,1287,496,32589,17464,535,9850
535:20440,6284,11459,8890,1140,490,194,11881,31019,12389
536:8055,29,388,12175,7843,15873,899,483,2831,4418
538:11535,88,7166,6353,22424,2076,4485,5484,40414,41022
539:483,1476,29,12175,32,7843,786,855,4181,1510
564:17431,5459,6284,8457,518,239,109,7194,1804,380
582:1510,1896,4181,786,1476,899,2734,38525,510,3730
585:30,2904,22606,39701,39589,4364,9311,4628,2369,38963
590:483,5514,7843,4497,5542,15873,12175,19664,4181,490
601:105155,94414,118676,31717,121660,121234,90819,90054,48912,27912
618:354,346,8,3250,61,409,17,1535,2254,246
624:10778,352,135,168,11255,34134,1400,5557,8733,3107
627:11539,5512,19731,83175,4671,1077,6475,10071,311,32661
628:34324,38576,2302,12976,4049,1162,38448,735,32608,15976
632:1790,379,16208,15596,10834,1887,12606,5630,1786,408
633:7210,508,167,61,2361,1752,2359,16595,364,12442
634:23297,124,3693,17979,1332,10871,14768,188,31804,28604
646:546,20467,709,826,20322,2638,1995,1155,56260,335
666:6152,48042,35817,46142,22374,91812,45927,62184,28168,40086
667:645,211,429,353,364,13832,5658,6765,1133,2172
669:11470,518,17,2337,43919,190,98042,16439,103046,14435
678:109,380,84,1102,8162,14086,1186,47687,162,15900
680:1511,4025,101,14992,6765,692,2172,211,29,205
681:37118,16390,9613,1744,1875,28604,5450,4715,17979,10871
682:21031,6244,16939,3197,2275,62566,37734,47329,98339,39155
683:69187,45128,71448,112536,97127,25771,1339,49996,98188,10369
684:69720,11470,11984,29161,22890,10493,5738,111529,119675,9935
715:4671,59850,3739,8392,12861,1547,2543,81,9435,27593
716:43624,4003,19585,1374,205,1393,14046,787,5266,6547
741:39242,47587,4940,8520,8860,14048,3709,4394,984,760
750:32831,394,380,472,66,812,1762,358,493,8457
754:5459,1116,1186,109,714,2469,97,380,65,2172
756:7800,1804,510,1535,6284,1181,1476,66,2338,2469
757:285,17,616,2139,27977,698,861,1196,40,1535
758:70858,46128,15,19354,10849,236,1245,65,76,364
763:1804,66,7800,84,1762,2469,10040,39846,1476,14559
773:1239,29900,6,18420,486,650,2818,1511,396,493
774:32,5542,1277,4181,4697,2538,289,301,388,1212
775:1009,6284,1476,1102,1762,61772,1511,15,901,4420
782:8423,17084,179,2361,395,2597,3841,3250,8444,544
784:43485,17091,11535,8055,3730,1510,4181,29,289,4697
793:17030,6059,13203,35619,109031,11396,12462,23833,728,16241
803:1119,57030,2163,1186,42888,15527,65962,8058,11843,9717
813:10985,19220,490,5117,10247,2831,2166,11044,1152,3561
815:11740,358,366,9239,1930,14554,3429,354,105,1551
817:3304,5471,322,1089,190,14003,3,692,495,3028
818:38174,11759,23239,64408,50876,16670,12571,24778,81228,41940
823:21635,33174,6143,8029,2028,1744,1936,5517,31726,10660
825:19220,29841,2944,5239,5117,1790,1168,3730,2831,928
833:109,1116,2955,2469,2166,358,3008,66,7800,1804
835:3757,786,15873,4181,4497,88,4886,7166,5542,86
838:65469,59116,59054,15131,7989,124,31350,27315,9412,46541
844:43485,5514,12175,4497,3730,1896,4068,86,19664,3028
850:58,654,866,84,17,546,354,1102,1119,363
856:11535,8055,1038,12175,7407,1231,2538,5553,4697,855
857:596,4497,101,3730,1896,7843,5514,2734,3028,19664
874:4993,8012,19471,7779,1499,2868,7901,296,12066,5699
891:2172,1476,967,408,1627,1713,21,3807,13106,2979
899:834,366,4664,8457,901,22,521,449,3965,388
900:398,4719,31369,2447,8209,16155,4126,24211,6289,20490
911:358,43400,43222,4586,6284,15720,239,13896,4880,21835
918:3093,375,7217,10792,16390,124,14768,23297,3693,10871
925:5484,370,7407,16512,402,4326,40224,40182,633,3249
926:17431,5459,21141,6026,3313,4542,103,5117,10040,109
937:88,10869,7166,10507,5998,4886,19664,633,86,4497
949:
964:10046,2403,20167,33639,9490,9159,43335,32558,3207,8871
970:14636,2656,8,9093,4300,50946,3535,4613,5010,39096
977:8055,1220,2538,4697,490,301,29,2734,2166,3757
981:3093,4715,10792,1875,14768,188,124,3693,27138,23297
982:496,12133,364,4328,508,571,245,249,296,875
984:380,84,8457,1181,1762,1186,1116,109,1476,3313
992:7217,4499,10871,17979,1332,7377,29136,3693,124,32088
993:645,29,2354,4025,2868,692,2361,12886,1393,205
998:25280,4485,8055,5985,2538,1510,786,38525,7974,7843
1000:4485,43485,17091,84,388,899,2901,12389,2121,1277
